                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.329,                 1.1813,                 1.4267,                0.60319,                0.59362,                 0.5824,                0.29474,                 1.6265,                 1.4741,                 1.6109,               0.006634,               0.006634,               0.006634
                     36,                 1.3098,                 1.1428,                 1.4041,                0.60406,                0.53936,                0.59028,                0.30058,                 1.6097,                 1.4756,                  1.621,               0.006535,               0.006535,               0.006535
                     37,                 1.2894,                 1.1165,                 1.3938,                0.58657,                0.57173,                0.59365,                0.30265,                 1.5915,                  1.436,                 1.5893,               0.006436,               0.006436,               0.006436
                     38,                  1.299,                 1.1169,                  1.395,                0.65604,                0.57337,                0.62528,                0.31187,                 1.6104,                 1.4553,                 1.6331,               0.006337,               0.006337,               0.006337
                     39,                 1.2916,                 1.1036,                 1.4023,                0.60946,                0.51706,                0.54268,                 0.2821,                 1.6077,                 1.6525,                  1.596,               0.006238,               0.006238,               0.006238
                     40,                 1.2877,                 1.0961,                  1.384,                0.61958,                0.62655,                0.60937,                0.30386,                 1.5938,                 1.3738,                 1.5639,               0.006139,               0.006139,               0.006139
                     41,                 1.3102,                 1.1042,                 1.3962,                0.62948,                0.54187,                0.56635,                 0.2876,                 1.6632,                 1.6416,                  1.632,                0.00604,                0.00604,                0.00604
                     42,                 1.2806,                 1.0954,                  1.373,                0.64269,                0.56719,                0.61612,                0.30453,                 1.6324,                 1.3497,                    1.6,               0.005941,               0.005941,               0.005941
                     43,                 1.2876,                 1.0792,                 1.3792,                0.60555,                0.56344,                 0.5836,                0.30102,                 1.6276,                 1.4894,                 1.6269,               0.005842,               0.005842,               0.005842
                     44,                 1.2594,                 1.0801,                  1.365,                 0.6141,                0.56002,                0.59288,                0.30341,                 1.6372,                 1.5532,                 1.6184,               0.005743,               0.005743,               0.005743
                     45,                 1.2678,                 1.0775,                 1.3773,                0.57811,                0.58063,                0.57181,                0.29873,                 1.6314,                 1.5343,                 1.6139,               0.005644,               0.005644,               0.005644
                     46,                 1.2563,                 1.0693,                 1.3743,                0.62736,                0.57418,                0.61156,                0.31785,                 1.6167,                 1.3434,                 1.6017,               0.005545,               0.005545,               0.005545
                     47,                  1.242,                 1.0526,                 1.3597,                0.63799,                0.55485,                0.59937,                0.30571,                 1.6235,                 1.4697,                 1.5874,               0.005446,               0.005446,               0.005446
                     48,                  1.247,                 1.0384,                 1.3581,                0.59604,                0.63143,                0.61772,                 0.3105,                 1.6134,                 1.4416,                 1.6146,               0.005347,               0.005347,               0.005347
                     49,                 1.2501,                 1.0525,                   1.37,                0.62575,                0.58055,                 0.6248,                0.32449,                 1.5624,                 1.4038,                 1.5627,               0.005248,               0.005248,               0.005248
                     50,                  1.247,                 1.0543,                 1.3635,                 0.6031,                0.62484,                0.64614,                0.33119,                 1.6028,                 1.3364,                 1.5953,               0.005149,               0.005149,               0.005149
                     51,                 1.2544,                 1.0415,                  1.361,                0.57192,                0.57753,                0.56627,                0.28297,                 1.6212,                 1.4446,                 1.6006,                0.00505,                0.00505,                0.00505
                     52,                 1.2524,                 1.0398,                 1.3658,                0.58084,                 0.6427,                0.60815,                0.30789,                 1.6435,                  1.398,                  1.627,               0.004951,               0.004951,               0.004951
                     53,                 1.2291,                 1.0378,                 1.3633,                0.58266,                0.64621,                0.62302,                0.31839,                 1.5635,                 1.3514,                 1.5564,               0.004852,               0.004852,               0.004852
                     54,                 1.2433,                  1.035,                 1.3646,                0.61879,                0.60436,                0.60127,                 0.3099,                 1.6214,                  1.421,                 1.6072,               0.004753,               0.004753,               0.004753
                     55,                 1.2377,                 1.0187,                 1.3639,                 0.6058,                0.65729,                0.64529,                 0.3328,                 1.6268,                 1.3176,                 1.6321,               0.004654,               0.004654,               0.004654
                     56,                 1.2337,                 1.0236,                 1.3643,                0.62735,                0.64595,                0.62941,                0.32022,                 1.6582,                 1.3561,                 1.6529,               0.004555,               0.004555,               0.004555
                     57,                  1.228,                 1.0219,                  1.364,                0.67323,                 0.5512,                0.60242,                 0.3161,                 1.5598,                 1.5247,                 1.5578,               0.004456,               0.004456,               0.004456
                     58,                 1.2325,                 1.0019,                 1.3434,                0.62731,                0.62781,                0.63568,                0.33244,                 1.5849,                 1.3191,                 1.5894,               0.004357,               0.004357,               0.004357
                     59,                 1.2179,                 1.0007,                  1.347,                0.64603,                0.58415,                0.61182,                0.31051,                 1.6225,                  1.393,                 1.6152,               0.004258,               0.004258,               0.004258
                     60,                 1.2218,                 1.0038,                 1.3526,                0.64584,                0.64721,                0.65736,                0.33971,                 1.5891,                 1.2907,                 1.5824,               0.004159,               0.004159,               0.004159
                     61,                 1.2192,                 1.0029,                  1.338,                0.62484,                0.61888,                 0.6251,                0.32518,                 1.5933,                 1.4262,                 1.5888,                0.00406,                0.00406,                0.00406
                     62,                 1.2131,                 1.0029,                 1.3352,                0.65383,                0.63711,                0.65287,                 0.3336,                 1.6558,                 1.2806,                 1.6273,               0.003961,               0.003961,               0.003961
                     63,                 1.1818,                0.97366,                 1.3216,                0.62946,                0.68892,                0.66271,                0.34799,                 1.5571,                  1.283,                 1.5624,               0.003862,               0.003862,               0.003862
                     64,                 1.2117,                0.96914,                 1.3333,                0.63061,                0.68908,                0.65773,                 0.3445,                 1.5934,                 1.2711,                 1.5967,               0.003763,               0.003763,               0.003763
                     65,                 1.1804,                0.95301,                 1.3224,                0.65094,                0.61256,                0.63669,                 0.3332,                 1.5986,                 1.3125,                 1.6153,               0.003664,               0.003664,               0.003664
                     66,                 1.1771,                0.95903,                 1.3302,                0.66038,                0.59392,                0.62708,                0.33104,                 1.6111,                 1.3739,                 1.6161,               0.003565,               0.003565,               0.003565
                     67,                 1.1888,                0.95975,                 1.3363,                0.65969,                0.61534,                0.64086,                 0.3414,                 1.5726,                 1.3073,                 1.5648,               0.003466,               0.003466,               0.003466
                     68,                  1.168,                0.95826,                 1.3203,                0.64087,                0.59299,                0.61925,                0.32599,                 1.5946,                 1.4651,                 1.6106,               0.003367,               0.003367,               0.003367
                     69,                 1.1684,                  0.956,                 1.3242,                0.68149,                0.60641,                0.65677,                0.34868,                 1.5468,                 1.2853,                 1.5509,               0.003268,               0.003268,               0.003268
                     70,                 1.1739,                0.94614,                 1.3068,                0.64206,                0.63751,                0.65689,                0.34998,                 1.5908,                 1.2683,                 1.5991,               0.003169,               0.003169,               0.003169
                     71,                 1.1568,                0.92782,                 1.3206,                0.59511,                0.62192,                0.61052,                0.32426,                 1.5719,                 1.3371,                 1.5837,                0.00307,                0.00307,                0.00307
                     72,                 1.1583,                0.93749,                 1.3107,                0.63834,                0.63203,                0.63755,                0.33649,                 1.5836,                 1.3405,                 1.6174,               0.002971,               0.002971,               0.002971
                     73,                 1.1556,                0.91483,                 1.3055,                0.63882,                0.63147,                0.65264,                0.34188,                 1.5787,                 1.3026,                  1.591,               0.002872,               0.002872,               0.002872
                     74,                 1.1486,                0.91274,                 1.3025,                0.68154,                0.59695,                0.64209,                0.34217,                 1.5891,                 1.3814,                 1.5952,               0.002773,               0.002773,               0.002773
                     75,                 1.1603,                0.92194,                 1.3133,                0.64736,                 0.6205,                0.63327,                0.33515,                  1.609,                 1.3534,                 1.6064,               0.002674,               0.002674,               0.002674
                     76,                 1.1531,                0.90972,                 1.3087,                0.66283,                 0.5982,                0.62183,                0.32966,                 1.5971,                 1.4703,                 1.5953,               0.002575,               0.002575,               0.002575
                     77,                 1.1441,                0.91151,                 1.3079,                0.66128,                 0.6453,                0.66205,                0.35266,                 1.5838,                 1.2863,                 1.5667,               0.002476,               0.002476,               0.002476
                     78,                 1.1332,                0.88982,                 1.2945,                0.67896,                0.63096,                0.66937,                 0.3597,                 1.5792,                 1.2688,                 1.5694,               0.002377,               0.002377,               0.002377
                     79,                 1.1399,                0.88943,                 1.2894,                0.66421,                0.63083,                0.65189,                0.34606,                  1.578,                 1.2971,                 1.5795,               0.002278,               0.002278,               0.002278
                     80,                 1.1211,                0.85975,                 1.2764,                0.64249,                0.69522,                0.65965,                0.35011,                 1.5815,                 1.3103,                 1.5763,               0.002179,               0.002179,               0.002179
                     81,                 1.1249,                0.87887,                 1.2866,                0.65204,                0.65356,                0.65929,                0.34973,                 1.5393,                 1.2824,                  1.532,                0.00208,                0.00208,                0.00208
                     82,                 1.1242,                0.86856,                  1.283,                0.65066,                0.65672,                 0.6496,                 0.3397,                 1.6032,                 1.2983,                 1.5809,               0.001981,               0.001981,               0.001981
                     83,                 1.1053,                 0.8604,                 1.2705,                0.66641,                0.62434,                0.64079,                0.33714,                 1.5828,                 1.3306,                 1.5889,               0.001882,               0.001882,               0.001882
                     84,                 1.1063,                 0.8338,                 1.2732,                0.65918,                0.66624,                0.65874,                 0.3532,                 1.5926,                 1.2764,                  1.598,               0.001783,               0.001783,               0.001783
                     85,                 1.1022,                0.83872,                 1.2697,                0.65472,                0.66722,                0.64562,                0.34034,                 1.5605,                 1.2991,                 1.5644,               0.001684,               0.001684,               0.001684
                     86,                 1.0956,                0.84518,                 1.2622,                0.67024,                0.63285,                0.65013,                0.35148,                 1.5992,                  1.281,                 1.5975,               0.001585,               0.001585,               0.001585
                     87,                 1.0948,                0.83969,                 1.2671,                0.67896,                0.59995,                0.63513,                0.34633,                 1.5744,                  1.325,                  1.582,               0.001486,               0.001486,               0.001486
                     88,                 1.0712,                 0.8294,                 1.2567,                0.66583,                0.64205,                0.66022,                0.35254,                 1.5853,                 1.2571,                 1.6059,               0.001387,               0.001387,               0.001387
                     89,                 1.0976,                0.83451,                 1.2641,                0.67602,                0.67178,                0.66662,                0.36069,                 1.5751,                 1.2687,                 1.5924,               0.001288,               0.001288,               0.001288
                     90,                 1.0675,                0.80396,                 1.2516,                0.68049,                0.65049,                0.66603,                0.35949,                 1.5815,                 1.2493,                 1.5928,               0.001189,               0.001189,               0.001189
